severity of covid-19 infection,being tested for covid-19,being a healthcare worker,smoking
0.09272667984390415,-37.20300830988792,0.10128617634407128,-0.26110810068423634
0.1645969681048186,-37.02375038359625,0.005183915247823467,0.2873980427570078
-0.14115034720574607,-37.22500122379255,-0.19504624266331924,-0.00961687195740931
-0.18274020658755724,-37.001026708697076,-0.23331561963026734,0.045902896330760966
0.19702037578772746,-37.29568378367706,0.1807541790972475,0.18496613468350476
-0.26245773860307714,-37.22360549858556,0.26835396552074836,0.23740172471666704
-0.16564197160986996,-36.8951985705422,-0.13127970752669715,0.14417324442730006
0.22083653394889186,-37.16285609207988,-0.1459613172669722,0.23642922889675083
-0.2340809976535686,-37.30407375307126,-0.09600067872017287,0.2743155946489837
0.065366759486503,-36.89071339033596,-0.1871334489127131,0.11047985050999583
-0.26248221360461066,-37.197976905002584,-0.026490152786468157,-0.1265341678669354
-0.2333583414951192,-36.927353993988106,-0.13886343647228708,0.1421603039423394
-0.00977522386191082,-36.96467097683877,0.0029494263889447425,0.027156117850266996
-0.016829756412953478,-37.32022301735645,-0.2904064707893691,-0.13383263905985066
0.2692661622061259,-37.097077672393034,-0.20567268141248257,-0.006761063474283804
-0.12973749869982837,-37.361421582224416,0.15156697118788748,0.13209448725610268
-0.030867063647433413,-37.10095764476692,0.11421071508164343,0.20247457327620202
-0.11823316032743239,-37.41031094998882,-0.03853774318008246,0.019490180724774563
-0.1681843891485095,-37.26091580908082,-0.26155572294960544,-0.26442240983196574
-0.02568975176437316,-37.16007408687429,0.2486393938402655,0.003994668344399849
0.12724246213968976,-37.37224596194846,-0.028207674154914653,0.2647729628494021
-0.0006321185749941782,-37.445632663104114,0.2868235415781299,-0.10107375797323748
-0.1822437193981653,-36.99340559676747,0.01818800324563663,0.029793021215948134
-0.016540856567342832,-37.13774781114309,-0.13034876653737332,0.2075999968720965
-0.008623111885004475,-37.35630793133295,0.10988647949457603,0.08851427611581736
-0.22812815826894592,-36.891851734766966,-0.19429571831693443,-0.04534367379661885
0.15590828690254283,-37.10494999654193,-0.009947603951060757,0.057806391190949546
-0.1014687496152277,-36.94550982589617,-0.013523908174578214,0.09632669421302223
0.05502896789706763,-37.42947049167972,0.19265830698468184,-0.0030756738859634668
0.019128632692435643,-37.10284394359781,0.27050043317798195,0.1566248343318334
-0.1100925916733827,-37.073198288156334,-0.2106183899063176,0.0766616807581754
-0.20224985435484816,-37.13645180477341,-0.1736221102564563,-0.02035855963576055
-0.17030218879450373,-37.012320055895884,-0.014758191511427321,0.2952972833383316
-0.09967940595170233,-37.16098076982826,0.17347544005691035,-0.037615855705443034
0.1231746402786345,-37.041862328505076,0.191100321618988,0.21615421429606774
-0.08048746790902256,-37.46934387503178,-0.1398914335058612,-0.29445538309256913
-0.22668374548219805,-37.16338328776483,0.21590567721926407,0.2264890103078661
-0.13160414778604645,-36.952991087230444,-0.1859469493382026,-0.05075562592765222
0.13677517208355638,-37.45720881891276,0.176935878384052,0.030851479670245187
0.21495301501732983,-37.27632249159905,0.22212628987508337,0.0768206975566685
0.10351424092003358,-37.242630273515374,-0.24285357044637104,-0.22116785143355167
-0.2889260802689296,-37.23286894076628,-0.2682419244375634,0.0222647684573416
-0.1425751347519353,-37.3697647728262,0.052972732779998255,0.2056686676991309
0.293570365664873,-37.433955358763086,-0.019797692487535268,0.2255267361046484
0.23616549301359063,-37.38857976281937,0.013097779390663478,0.1251354716416863
0.2235534768884025,-37.08282225512583,-0.14378743397487728,0.24163961933633069
0.07644070793378044,-36.90807813250823,-0.17206867465108308,-0.09044431319139018
0.0969541155798116,-37.11983117105577,0.1823588066290704,0.10240093452106311
0.2193633071490277,-37.452986294776686,-0.02103339557196371,0.21771831937664013
0.041390718570112894,-37.03236155218587,-0.23782002172731312,-0.11136840603981712
-0.1092969047981793,-37.11515712457055,0.17291585351824207,-0.29342901077147215
-0.09315608433122896,-37.30310689711184,0.04771663781000818,-0.04052201600104944
-0.07010722705497927,-37.00210938099741,0.17996905076854114,-0.07208659976216016
0.0992270546789829,-36.973654774797104,0.10590305264486449,0.2639496016191502
0.1801090039022869,-37.458378951177735,0.2113355933469811,0.054601511044250574
0.29236830901574945,-37.4353115424186,0.17063835535568533,0.129100002007318
-0.25559407866850475,-36.96423856517027,0.16442161367758074,0.07291322416332163
0.18785616990381343,-37.23417425547149,-0.25021402350864647,-0.2458664631074802
0.2263659085104654,-37.140805904370545,-0.05371508215807372,0.08275462135336273
-0.2327297745221365,-37.18045099465679,0.004553200198789353,-0.18878740018967402
-0.034725239019283094,-37.12527647604105,-0.23482805196492226,0.1243853344807089
0.04089710565123894,-37.17550080744759,-0.1735392569725028,0.0231760074605268
-0.18261005994219592,-37.44799320551977,0.09189935539875921,0.28131247286756045
0.12558991443477524,-36.88297613271797,0.15760468113671927,0.24406423095101204
-0.044605137727442346,-37.31276439769525,-0.257431116486957,-0.27359043001063416
0.22550852563505702,-36.9242860566436,-0.05054350609442643,-0.2143127567275923
0.23806532052245094,-37.18663255014485,-0.13625792879540802,-0.09006686604243658
-0.2743002888644792,-37.318225684860344,-0.07636394156027662,-0.2802771564677409
0.1623556478385404,-37.41636767444685,0.23554789857222108,-0.21882254021088796
-0.0502333631372584,-37.218380668261545,-0.2678503949245677,-0.07710799503608605
0.13099859309420897,-37.12784085891352,0.1803135026246842,-0.037963254265522245
-0.058074255912729106,-36.97027533757139,-0.27704229172083883,-0.06242171464001055
-0.05131023666679052,-37.400038294305126,-0.046240696947478954,-0.05240562508773681
0.11278352019371252,-37.19054583755607,0.20894152179954878,-0.23949181608288475
-0.2670843673428322,-37.28223324592573,-0.056535813444493044,0.165760649674629
0.26756710993435023,-37.162009165936134,-0.23979180365422034,0.16440619604350526
0.20540237378090714,-37.00412007150375,0.10836870346941962,0.00013198976480817415
-0.007817906696870325,-37.27429667560804,-0.21858117161356627,-0.02387482081943263
-0.04178724718564464,-37.219258096113435,-0.15295374442090967,-0.03760639119508841
-0.2380530435792463,-37.0538297400455,-0.10062407291999745,0.12347646165838147
0.16490944201033053,-37.082145346273165,0.06727091333034613,0.13063626227818087
0.030096851783622536,-37.16495143551371,-0.22113266703507228,-0.02495777228822718
0.21312189993024527,-37.15365824758295,0.12863172333921147,0.2579642209996947
0.26505106547558516,-36.97998346790387,-0.26842764673205427,-0.01587293680568326
