level of education and income in the a neighborhood,supermarket characteristics,weight status and adiposity,purchased food items,household income,level of education,food preferences
-0.3959384626411818,-0.18634098088255657,0.6824679838898394,0.018956708188938548,0.17141432265529127,0.09794378957441496,0.10526084865897996
0.13722482850370313,0.01377115500258519,-0.24566726052498045,0.12927063566066654,-0.16867287014709745,-0.06756033148120438,-0.22608783383224845
-0.3749321212193206,-0.014206887089535297,0.4071865918865692,0.33835225594581675,0.1839855842520472,0.02719372988657931,-0.18448563363611498
-0.03333079539199843,-0.3725062971708855,0.1810854527812305,0.1918557606607267,0.39778865825214504,-0.23151414924905594,0.26261427845919827
0.2002630678308321,-0.04516615273751498,-0.4874476223719879,0.2585303298658167,-0.004324925142501417,-0.05810409274862022,-0.11688945048574612
-0.10341892554721907,0.04772615982814418,0.37025200128199276,-0.16618784795862643,0.05476525480235911,-0.2658669389975454,-0.017862982955144796
0.2720105616442651,0.5304587993885983,-0.18304879971500318,-0.5074005029227784,-0.21785731818757625,-0.06189082473381574,-0.14647881623933579
-0.2122853891561927,-0.4651866858088125,0.14632631750661376,0.18209065410267541,0.05816478780799779,0.20283813593658345,0.10476810847872883
0.09902412638854527,0.11928884006647678,-0.2858694324390257,-0.24028920313039304,0.09494510973069033,-0.12159351048606676,0.14817465236243382
-0.30049133170624476,0.031015591033185047,0.6862897862823396,0.11304097907691307,0.20865399564862772,0.0443855970517516,-0.27157835612719716
-0.18522944500105698,0.047674333051983764,-0.2803406248274891,0.5478830843721005,-0.06675701303528904,0.17613452766941295,-0.3695699550158327
0.32937953697011796,0.19520861653426902,-0.6682593745085785,-0.36909440795745657,-0.14916248167077237,-0.27305041295331395,0.42345367143655366
-0.3018895758031294,-0.003323176714587317,0.2611569249685403,0.06581977971697926,0.10101230182124775,-0.07772875504680882,0.0979320915323543
0.026159889423571878,-0.06667651074167191,0.07666555481296886,0.13657598522106326,0.27419715682191154,-0.18522383021413302,0.10048721707124963
0.014049875826284329,-0.31429457530090177,-0.3633629938745949,0.5212350234329177,0.1873160369520851,-0.29095532361155846,0.03261053869576097
0.10743775606860391,-0.2416023432049681,-0.4395852760990647,0.46498843586866545,0.1712227228440021,-0.08476463990571662,-0.11937152582001773
0.32235302497951496,-0.020616416758048817,-0.6871641177150549,-0.00718048400502691,-0.09923601420718436,-0.07885840102865918,0.23756447217530463
0.114438997312653,0.0239724465454578,-0.04337384507195212,0.06059845495903329,0.024940351911491257,0.1730613046787267,-0.32361956606782694
0.05690233826555769,-0.09882708654294405,-0.3422135648361907,0.06323432499022373,-0.04023789035553481,0.04487917983836176,0.08228299260624382
0.11474654968208951,0.4237278785655323,-0.2136532589137235,-0.047920503107176715,-0.22116413331549678,0.15007978287495172,-0.10466996821056346
0.30708190769168053,0.29426037730517035,-0.5371286316084434,0.0098610613045656,-0.22188938549036824,0.20734508253168865,-0.05817238535358893
0.14178301890597528,0.057542793374677104,-0.49510120636507404,0.1795659719464715,-0.19405086365862323,0.15544222332176377,-0.23394902494140712
0.18998903769134154,-0.3410560161494471,0.10489329272381712,0.2087800354380911,0.1641446516447424,-0.04187882027690065,0.11437843417500386
-0.10672307785705593,0.3722042594795706,0.1554096185889432,0.4129272352640885,0.013272041729633505,0.28651857640248496,-0.3998568037330689
0.03192364438473565,0.1442045336431895,0.0777292804118787,-0.28377862746701793,-0.20968890171649415,0.256350675663003,-0.08629283849173544
0.12271133644793358,0.09598822812217535,-0.5522639272064328,-0.034446704633166236,-0.12990135030862204,-0.07649544809680706,0.177407343408583
0.04944591036291396,-0.2224240735691998,0.14717588415626245,0.07107848833961064,0.3431353268026322,-0.20532145462629903,0.15683878837517312
0.06622159517174206,0.22555105464070307,0.048557481745905795,-0.2410284962747041,-0.21912992140065252,0.17051667169075024,-0.3501288112032465
0.37179642416862363,0.6656295312900358,-0.5074196155163841,-0.8086716935157574,-0.4278830689672816,0.2917492146811222,0.0659968011315808
0.1412245762597254,-0.1609230198042696,0.2532340762276196,-0.027310261506438033,0.370633132812619,-0.29247742508103697,0.16914839946466603
-0.06862470990630212,0.5947781014006307,-0.04763118311790508,0.01684650318615291,-0.29809500383005866,0.22540720148386922,-0.4515072459120093
0.05738761919309601,-0.1365198816536109,0.24656145458299725,-0.19387821005238745,-0.048541921261386844,-0.20702371472404013,0.1833696053138907
-0.24435886599018344,-0.7488331249427248,0.47745737625075974,0.14518410317985783,0.35837770358037213,-0.19697957181605572,0.40448184234550644
-0.12522023428212387,-0.20746020958873504,-0.14464332899061577,0.3953008982398505,0.05143322414013776,0.26288491726083824,0.062153656720514844
0.034171760589372255,-0.17257973352424677,-0.00737905232997417,0.13800578237739342,0.011040586553802481,-0.06760398683167121,0.0898233929274285
0.16828099292818907,-0.026557755499776903,0.06593674662780298,0.054282224569097814,0.07769948434140181,-0.053173215325290235,-0.22939111011341562
-0.09981899120544582,-0.1886575568881736,0.3290166265535944,-0.0529171011350463,0.19547468786765257,-0.18655565443036176,0.36502025384239317
0.037995874932236356,-0.06917465385083162,0.08843330697441171,-0.25472476106374653,-0.19191295541583303,0.09831896367873244,0.05802412952078287
0.14179713620705459,-0.08497621220136185,-0.39039397914784146,-0.13635640501242033,-0.14737264858858795,0.03481897606690221,0.14750827590028465
0.23772857458157948,0.11515657316026756,-0.02981864269053884,-0.17385247702188586,0.034884093683105,-0.0130815909904618,-0.04718817560267427
0.09870830711157608,0.2532840036624995,0.08034289228928154,-0.06830095882665504,-0.0041909116219776,0.2060954478754426,-0.11387485716780149
-0.3204880633899079,0.04742059694647239,0.07206175066967124,0.36062032387932,0.08617204855461644,0.27288972801163675,-0.3035464982281103
-0.35206888666689107,-0.6504157695567717,0.1976669617574779,0.1750740402731716,0.30256254534487315,-0.23697477670573802,0.31929977560264083
