temperature,relative humidity,transmission rate of a disease,rate of incidence of a disease in the population,observed incidence rate in the population,dew point temperature,rate of infection of a disease in the population,size of the susceptible population
0.010852775002023585,0.13318323190808926,-0.20026199854781232,-0.23651093902495257,0.176354512457481,0.003629604541726894,0.022025279504727435,0.20193251885058133
-0.28467957274945954,0.01826374038461223,0.17280918617452687,0.17758441540172512,-0.09622860789612503,-0.01879925955579087,-0.2324435353321019,-0.11446937209285049
-0.01939975680333139,-0.22394243407295655,-0.10819565423964553,-0.2949222799660759,0.17687534927376983,0.016158013166972185,-0.10734143511191693,-0.1967935401840598
-0.2841021923567999,0.15906128451124565,-0.22729980983226344,-0.5020334705112853,0.4461791320485048,-0.22086045158269269,-0.29509276546800106,-0.27701439905126524
-0.07119591187407137,-0.44000796447633356,-0.24779570778310667,-0.24896191027604356,0.07692711963152077,0.1916626899443991,0.2926038052911529,0.2009811583739502
-0.28541088670887804,-0.4779540236114021,-0.1563266981504493,-0.2897911013008589,0.40486892452783807,0.17710731438548188,-0.020593013402392613,0.14582007662327556
0.17948158722346114,0.32995585234285596,0.09126478507707947,-0.07041556590346937,-0.09435422749807026,0.07001456181243981,-0.2634532920864345,0.1556148609456371
-0.06234334368284372,0.40373406882118434,-0.11322475830160791,-0.05435578962818641,-0.20804056706746288,-0.25705358330539724,0.07409209797991062,-0.08659811316173635
0.05314637932953159,0.06890747353370996,-0.10728513673146411,0.07270353122251984,0.03280153611679732,0.09344934149988587,0.21467999476560523,-0.1581638688178363
-0.105468281860118,-0.488556736331906,-0.10770072608452916,-0.2664860080495545,0.11846910028888327,0.19758264284889243,-0.2596724412915598,-0.22484778813620515
-0.20328069058682485,-0.07217121320633482,-0.11222289653756447,-0.15631452561479084,0.34296311158651055,0.09638728418611092,0.18061792506830543,-0.08060675879807258
-0.11215245012374225,-0.23066986249887356,-0.23820538376910558,0.16640146593510435,-0.3052766218526199,-0.09434557646846645,0.1777065007479025,0.20080000268536297
-0.15108450049885638,0.04905090428207745,0.16177755036532682,-0.07202961768603136,-0.041327985793575064,-0.26403155314318427,0.005519114967811545,-0.2324984275078933
-0.2844599414155029,-0.25032320687422627,-0.02761892134563179,0.012537920269182807,-0.02621177321068486,-0.0975023421626045,0.03775436096557472,0.11955400219579726
-0.1492712571922439,0.08297215096265198,0.07732644780539169,-0.16410604011184227,0.23929200683399465,-0.019604738712943326,-0.17877592762109026,0.11829480351805188
-0.2006709118332236,-0.03255930479744604,0.14923248813528953,0.03590573128073027,0.2753275987782903,0.031758428678238304,0.2475838207971654,0.05809541207706437
0.2504322539761887,-0.009043297087366273,0.20170580913043729,0.31227796274163544,-0.15380172488668412,0.14698305019605912,-0.05617365203954311,0.20088541970895907
-0.1600710609118531,-0.08322463691281444,0.1437540750653859,0.08890022863989158,-0.348983307988708,-0.15292207488731405,-0.07359928150354056,0.21605614530934808
-0.23211476679135346,-0.2203794611417541,-0.04987953925391561,-0.2531044257182022,-0.04233648947235438,-0.1601285543882631,0.11572027795439649,0.1276911267748006
0.2798659694448728,0.5509513426177708,0.5272728352929625,0.3171552895404227,-0.1429596415064888,-0.18778586555391913,0.005098902372399738,0.07900069240313612
-0.06619215492372629,0.40691981997097615,0.057146886868292196,0.07121768171656948,0.028943619750196978,-0.2691164724526794,0.050968939273759006,-0.18016980095430962
-0.1846201851081889,0.0260564092293592,-0.0028431226835279114,-0.3709306663280406,0.041866651666970456,0.1123258587483712,-0.15178679898989275,-0.1358139459565282
-0.1516509463199042,-0.42196402023663165,-0.07092977789447935,-0.1423211586849564,-0.12005193662703295,0.10273119470037251,0.06276266099411593,0.22526634893447578
-0.14536656459458802,-0.11443197953931905,-0.20904268458768918,-0.14608064819368893,0.17720269907859457,0.20066507744006018,0.12190964677390537,0.04202101558919902
-0.19768354094144275,-0.1324829447246865,-0.34805838393709565,-0.10815851954213584,-0.03616572515946881,-0.18233598289125724,-0.15054081446435955,-0.18366821408251427
0.06207502868332976,0.2355977635624632,0.198801532028301,-0.24144085294921827,0.4098924259231089,-0.17984714468443225,-0.20193734246534187,-0.01982109920463737
-0.046480105584850884,0.11539813348940668,0.17586237913941088,0.45493684428983155,-0.480810851406685,0.07089476875382633,0.14844292633754075,-0.17180834095619246
0.19607336661101948,0.1814712119490883,-0.024917436090852563,0.403908701033029,-0.1126085343408818,-0.1083684053301768,0.12044323225770709,-0.27760957825377747
-0.20340466807923913,-0.5549202098700758,-0.03767643652127878,-0.26452899602785335,0.04310437423589908,0.27277994744169215,-0.19610504885727037,-0.12920299382647701
0.19072017370874356,-0.23154062438299108,0.07218288415160154,0.11072620715103637,0.10374415946924528,0.12205735018376024,-0.2734783873275626,0.08948108881644828
0.29948598394480125,0.5602561907612646,0.1681029991881421,0.07054054358043255,-0.0444960128212796,-0.17319779179191566,0.1465748613725782,0.014759369523643096
0.22226530116668503,0.532491728349235,0.49022516215363454,0.32627737781001187,-0.3686998104830448,-0.16648880970500082,-0.27110919842712217,-0.13574053788404886
-0.18637718469404724,0.029207861312773472,-0.07697455881180484,-0.11702191703278403,0.19702428250189405,-0.1643258189480708,-0.1953934801438914,-0.21634938270100995
0.2833661162409418,-0.06613545824712663,-0.09109545268430426,0.06995200752762226,0.22293155554110225,0.29844643856984115,-0.19653576120178112,-0.05913986934995982
-0.15049876442399562,-0.03683136566665665,0.1740994404511597,-0.009261014924581465,0.2901986789205344,0.01571798574618155,-0.12866329441181729,-0.18927009305500517
0.18664955071655925,0.22573187475389928,-0.07852259338281861,0.18234108459140325,-0.17089085532421056,-0.21323525441943877,-0.01193457933858083,-0.014259437130823227
0.25971101408311875,0.10789189067556745,0.33290539749992165,0.1255763812202122,-0.15865339788390523,0.2923252139952279,0.12191523867048171,0.2693330850904741
0.04980295942498125,0.3234543023684337,0.21885596896622445,0.24231592870490398,-0.033870452963196185,0.006071965071302754,0.1302738532684229,0.17778626634587857
-0.14866805825140156,-0.39680586020473607,-0.0028917378988088382,0.2955989980598408,-0.43742375821666035,0.1243239451881365,0.11992107289913756,-0.25498465490226657
0.1449521895206471,0.16562938015012513,0.4105425393884184,0.29784808021693543,0.0862441817740536,-0.04680974820309486,0.2412800412881037,0.040161826393925126
-0.05976181720968887,-0.2924592390978237,-0.42758370171996246,-0.6555934008255131,0.5727540734267629,0.12337104681508315,-0.0971398357019996,0.05012454071729788
-0.005750271445877142,-0.39677861372873857,-0.21754737452794137,-0.44163905873103193,0.4369960513280808,0.13629517361429816,-0.2069007511818623,0.23184601861709303
0.21475001771346253,0.5071497737162235,0.2520944839040264,0.1659086861319536,0.06799291210162921,-0.20613439826964164,0.25493565275410696,-0.16813534168557268
-0.06841683375867327,-0.46003547733297756,-0.010835103368198151,-0.061313795315661834,0.2655108730882308,0.20797774789558904,0.161802566368546,-0.19785270626618787
0.030638582529511238,-0.06634187317257823,-0.2767519253919836,-0.19071548974595706,0.2910401338784116,-0.22519665036035838,0.2716674244855524,-0.049025941884574764
-0.1241554928176232,-0.15486486002242417,-0.22227963538822854,-0.11380492747692,0.3664541448105255,-0.10522904978176337,-0.18063467246010623,-0.26176184540411934
-0.23486508330649936,-0.08661637606713853,-0.07281347842543423,-0.23573956778746247,0.29822011200009657,-0.17690949185310106,-0.06718416183668546,0.1129792931718861
0.12273334243356238,0.33798496646962284,0.40629865569722423,0.41590252366537916,-0.49487752838517385,-0.2526192352649791,-0.2514890895216833,-0.22528945504890252
0.2577881956792171,0.5877312841531194,0.22666538519749316,0.38082052743448214,-0.14900428861259676,-0.20723382992192857,-0.08777386237475629,0.1665477276276312
0.2682941793963501,-0.16824636137292223,-0.16541570069152448,0.053773474065525045,-0.2302973135030879,0.11994069170747573,-0.06560426797946048,-0.17859832358018146
-0.16312954572624233,-0.0967720532817833,-0.36529200134452444,-0.11553756207594468,0.12324990357685889,-0.25627142393567726,-0.015044314247229185,0.030461415767507216
-0.022641210595344297,0.4074264744836127,0.30915770975778534,0.2570111102221363,-0.12335957467868994,-0.2730766955561435,-0.2625509895633839,0.05468849947713722
0.024734456889801804,-0.008472409854121954,0.09186233072044923,-0.24816038049209987,0.3778016001349176,0.29033493605773036,-0.09161790149654389,-0.10806099734486971
-0.24222795913075262,0.1376154566573291,0.13890137369758773,-0.17765551978440206,0.2053777738272752,0.008953135459143724,-0.14528505776982534,-0.10982016018864552
-0.1819123418429603,-0.3381985111168503,-0.39485312769763714,-0.4028540113629383,0.3105441384913064,-0.006852350092959203,-0.025578920845782727,-0.1882997089530583
-0.2031209659241377,0.16379994778676554,0.1302272334524918,0.074153076222546,0.05354545467237414,-0.28179657928244434,0.1531214409839432,-0.2975786487699175
0.1899557360844965,0.29917660018440884,0.263848898980135,0.24514299805345596,-0.2037037030156033,-0.13773054010475186,-0.2682328149772556,0.18141022213535218
0.23107653957763635,-0.07795873684592919,0.17381448288162654,0.17460774812264093,0.10475137274453002,-0.019019496287134174,0.16280090673719516,0.07122581544601614
