low accessibility to green spaces,low socioeconomic position neighborhood,reduced walkability of the neighborhood,exposure to high criminality levels,lack of services,proximity to pollution industry
0.04032460761723511,-0.14716959433838311,-0.2053599853951632,0.21592617503250208,-0.0233565397315427,-0.10554109391403718
-0.019578168598717305,-0.2907552306700075,0.2907011734741024,-0.3336143952163463,-0.14972944473094846,0.06717351099065733
0.06630836865419926,0.2827327371473882,0.15295308634561738,0.3490451575311977,0.08965292260293378,-0.0927923425843522
-0.19211268603207393,0.20672262318519233,-0.3575477878758392,0.03621965428723194,0.1094809808739595,-0.13041731488318026
-0.057456059799531306,-0.21503807300156821,-0.3432857552146503,-0.028882690759689647,0.13096109307333784,0.008913930714676221
-0.08370358560786711,-0.39190247263508293,-0.16651042366570104,-0.40052167423408513,0.22429950730504716,0.19180519136407032
-0.058039541585653526,0.09253356299327664,-0.1260293733255557,-0.25426371959118194,-0.25799859018289895,0.005069214691228507
0.12738842373343306,-0.4702652695211502,0.2844582539073291,0.08637688132383717,0.03144453528916641,0.2769088541982951
0.10014294644808336,-0.37162245853812903,0.11093469992322103,0.08846377381296358,-0.16037978977162579,0.14792825856482084
-0.1968156493595007,0.3195137654942919,-0.1813300311131144,0.05584219305468052,0.2627144149802403,0.09106107786936918
0.028704212608855806,0.408240791600833,-0.15999395161691385,0.40526880894467643,-0.20293955058697247,-0.2006965919099234
0.10196512800977159,-0.10489428186732389,0.03396676081114573,0.11285879173497562,0.22676884578939982,0.19172225152031613
-0.07013519986187589,-0.29337982932172446,0.3128106752133094,-0.24486949464260924,-0.2009796805247919,0.1557027874464771
0.2508930369772862,-0.4341919865759136,0.4026307028710842,-0.4659810029580136,-0.3327462225683789,0.10725906358118131
-0.28005021304096217,0.12223085863631633,-0.4532786413460004,-0.11298876260985984,0.08632441392384962,-0.10409829819201338
0.0049814369643498835,-0.06236062518142016,-0.30064818902908275,-0.26136700176573724,0.19209603822970253,0.14365802108892994
-0.038925290815175206,-0.02136458504755187,-0.035957322870921765,-0.11642206644678109,0.16218646011205587,0.19260385405726022
-0.29360649105311226,-0.19959057786559284,0.17969419476444698,-0.10005760878286792,-0.2149773446593827,0.22787674383777717
0.10393415232929376,0.3277935391608723,-0.2904630585596483,0.0060177250836009055,0.01758949845617923,-0.2704108972438348
0.07205503717351808,-0.18068363958205574,0.5548921815122831,0.06981231559493688,-0.21400247848221182,0.20427822290748482
-0.29398737536051756,-0.12741900537675913,-0.48049186301390645,-0.22261022157607716,0.23069790869006676,0.028073740766014876
-0.23890221296988112,0.16998279646129538,0.08028182393835893,0.0569747108638141,-0.06634309439618236,0.2529384722872537
0.25255146718051497,-0.3066418588828484,0.06990867580882316,-0.3579326180624397,-0.010365078563509149,-0.05980998888349795
0.23175607172785212,0.3476117124903378,-0.22466877561095708,-0.018674531606247796,0.2019296413462243,-0.27206608597599474
0.26149889019888034,-0.1042460968052547,0.039942132755490745,0.21139166607766235,0.19549645093658652,0.06349162938744701
-0.19749977965308196,0.1191652782199617,-0.6210212624659092,-0.21151957369939572,0.11520894581494276,-0.2186336928024542
-0.06757722167016575,-0.06306836633821018,-0.1458223162875968,-0.1343353794549559,0.011492658994461571,-0.02541705515103887
-0.15237251073658098,0.4475516037923637,-0.2666058857410433,0.2604672290996267,-0.2427498711222273,-0.24408298469041198
0.0028609671770907785,-0.0568081899318861,0.0396093892014959,0.02579520607409155,0.263637501592536,0.0462341810228471
