lack of oxygen to the blood during the infant's birth,infant methemoglobinemia,presence of an illness,blood flow across the ductus arteriosus,mixing of oxygenated and deoxygenated blood,the state of the blood vessels in the lungs,low blood flow in the lungs,thickening of the left ventricle,age of infant at disease presentation,grunting in infants,low oxygen areas equally distributed around the body,hypoxia when breathing oxygen,level of CO2 in the body,having a chest x-ray,report of having LVH,report of infant grunting,level of oxygen in the lower body,level of oxygen in the right up quadricep muscule,a document reporting high level of CO2 levels in blood,lung excessively filled with blood
-0.2399895501878857,0.03778857970690264,-0.04820102358181741,0.0547933852999533,0.0473750336367951,0.02247036524151515,-0.11166909822021368,-0.30907709485185964,-0.1420592198033393,-0.019838685519391684,0.037898953914963826,-0.2859653330826569,0.07480981135816796,-0.11360116912308157,0.07225749850920221,-0.1731858515443247,-0.41871606228685676,0.32408654502514056,-0.08298926343078003,-0.020562338710418765
0.1678494085243517,0.012586232116420397,0.26175655159417965,0.21230189665086724,0.1641910075629486,-0.11931988630149731,-0.15761839468095024,-0.2596300745543944,0.19092155410753864,0.07502071202888502,0.043067773580693414,0.18760657509105622,0.37417179274565987,-0.018049440714971297,0.13733908928744692,-0.18303061184218944,0.2927179792131031,-0.4575885937862358,0.06745409948074496,-0.028549030526231544
0.18192503805843285,0.29140906852922216,0.1578747134291113,0.37204411518161584,0.07957540491741771,0.20497393485350474,0.07939639782445268,-0.2802509829762778,0.05826901141762526,0.16690568696098346,0.19988612982189072,-0.2786103189231437,-0.22323919164038994,-0.15327141651966575,-0.022448719259576838,-0.38904019312917554,-0.31346467573478004,0.24395029870339435,-0.2076825274608698,-0.10616449063562636
-0.11351002248740683,0.21380432005620734,0.20704130450328545,-0.08395707247667385,0.030477972885737253,0.037268481887113174,-0.025501206417622956,-0.16683231584840266,0.16311987065014388,0.11746322850472289,-0.0216356429041194,0.28772228389953797,0.009224661554924019,-0.023003318008500494,-0.024373778131682802,-0.021771823390632022,-0.0035626570361914633,0.01325094857841913,-0.22920479909569164,0.05063514035197476
0.19277033876445582,0.308477375879856,0.10398027179599009,0.15933788695108625,0.498143714459931,-0.18730722171846836,-0.16842654648459665,0.0738011699650992,-0.22116847501838532,-0.03003486190791166,-0.10044159080528517,0.020989354415156328,0.21787166657253193,-0.03785476621203247,-0.33658589405559325,-0.028519959500826583,0.22421682729401407,-0.2606984575909528,-0.19989303981155165,0.21048936938975824
-0.008613054082313276,-0.20224376749942802,-0.3301605372458115,-0.01633470607451684,-0.4124458920468941,0.154270057279109,-0.2133200894159968,0.05674653714797939,-0.28599563831730507,0.014196904015784745,-0.04322828662596792,0.19556531711360003,0.055218667107314434,-0.14909410407493712,-0.3068027307923549,0.17684545347595834,0.1477334943346003,0.013063563006049023,-0.21868857180676368,-0.14412391480619047
-0.2699056529180922,-0.05222726819652292,0.04565921603235226,0.2238301058423014,-0.0923174534729756,0.054042458711818085,0.18956685421247932,-0.20932019164734456,0.10116111607236604,-0.162163943990822,0.3198463853155566,-0.010039120769517226,0.03007032287835852,0.05509921216973893,0.2987754526919871,0.05058923128716826,-0.21099142296194537,-0.039062278082843974,-0.048588149206925106,0.23612097222804368
-0.2464738916820033,0.14626429559260934,-0.0696112277368879,0.2861849688596444,0.19634342256350296,0.31723210829721105,0.07112368148460013,-0.1756569801966109,0.006640452571126457,0.3493980433473823,0.26639377108983453,0.21896596481510516,-0.25758277005015706,0.34490683884480433,0.29015432631680405,-0.13058980952450233,-0.01800614552570877,-0.14069077938576477,0.16071332713727682,0.4221566218476933
-0.24821737001796615,-0.1444875972033911,-0.04875009337943208,0.20704923990730892,0.14340786345970055,0.05382241896381103,0.09248563465195621,-0.19616298533879706,-0.30240279516889584,0.06288189800489123,0.10272040543820812,-0.26048984964244914,0.04212156609987583,-0.20661386018757563,-0.156032860456464,0.09673113301656378,-0.5641681375203844,0.08853908427196808,-0.25462525548496817,-0.24235854469031454
0.054061440691276386,-0.03655020795797287,-0.013160066306209774,0.2325800725671545,0.08738059261767103,0.03096431790143319,0.29469344203710773,-0.0055893974961962745,-0.04240635787957426,-0.08001688217724684,-0.15075665813314884,-0.2174790335889902,-0.06845404053148049,0.23383929046131907,0.1277254987107949,0.055636687072957165,-0.3037977870196813,0.3341479476295627,-0.02530020996104554,0.06726893551915047
