level of pollution,lung cancer,x-ray,laboured breathing,smoking
-0.12323705623106207,0.03969641805781052,-0.12644864033736805,-0.13708124859229906,0.11119769536288121
-0.14386971114632635,0.2509673613442988,-0.23217200230024684,-0.3246758455555589,-0.14819284063918634
0.19618537281554466,-0.45634669988243937,0.023492632214585044,0.3550308404241749,-0.1308005487088121
0.05506169580806336,0.08946480580697391,-0.08145642452740859,0.2125117859570523,-0.01445897854913214
-0.2636666911148164,0.11870298537064894,0.28354549962774134,-0.15661934366623476,0.12939692974889566
0.08973513265752059,0.044103297857148095,-0.23117088378185485,-0.1896088386920554,0.1177616333960374
0.0029801012768907453,0.019158257536895207,-0.1662991293777429,-0.2641379706252197,-0.22186088532160542
0.26366743194398784,-0.29982647785479366,0.07096218410296792,0.03530974543046035,0.15968400229282836
0.28735910237695467,-0.721101606595207,0.1220299599490617,0.21667687998954416,-0.2246245181697717
-0.2732341805391163,0.08422789319346133,0.1018509597735218,0.09312323229176336,-0.25347172233713144
0.11156004110097428,-0.49075819227834105,-0.03950875111923953,0.24721904392898783,-0.28549772970533377
-0.07401831773747702,-0.3551809659879298,-0.1289611989156239,0.2343649518655381,-0.22057338646438113
0.2296899393141198,-0.14377618171359008,-0.13022759387306038,0.2173951659942047,-0.29058386722932067
0.11562558692764147,0.1467559166826952,0.2511705402306768,0.20233874901471605,0.27656749875066283
0.21259677708147967,0.18194610369979403,0.27966193737185485,0.03065835679389363,0.11072655799940223
0.04624346148893388,-0.08436188023869218,0.2409345828441596,-0.007640029629073342,-0.013871113400995616
0.1874997677688235,-0.3442727796778764,0.13552409235316865,0.2677648838789693,0.10875749927065342
-0.20592312344215097,0.29417790175306413,0.20952721155321352,0.012901652353602147,0.13431807441240495
-0.12869914069531013,0.2893203206522197,0.17695984789946853,-0.09928929382963918,0.28017669210388113
0.1935991949290634,-0.49918805860844917,-0.20843553131591983,0.027907963713275086,-0.1539936026984384
-0.2426120462755747,0.10461924741678763,0.1229239400441435,0.10670747363386382,0.17591860746124022
0.21678340208859775,-0.5054090331782384,0.14117144358255307,0.15063396674395124,-0.09779386939611268
-0.02424068979462901,-0.2992500920716433,-0.010850579389145104,0.09061301605996273,-0.24797793039799176
-0.18109398272898136,0.21840955239937657,-0.13066586236001232,-0.021166386619275473,0.26525603151002447
0.005665642367975565,-0.2304809834791053,-0.26625786821173864,0.005585428387451186,-0.05161678238462383
0.04764855458602024,0.10550007839784727,0.012879860985778067,-0.05124912517282348,0.16929672903193094
-0.0008846909223639288,0.09207176350057394,0.2229131267034149,-0.28355323976184726,0.07068359637986898
0.23320606692842755,-0.01215316427270118,-0.08293896364492226,-0.14357849806045392,0.2537883445349955
0.24437920102346783,0.059061005053800845,0.06963605303158947,-0.13359196326848258,0.1896461932948611
-0.20298949902994012,-0.11960091136843612,-0.06609589855037581,-0.029462397941898692,-0.2728039307342696
-0.22692242293813353,0.19149268226385305,0.1881416846105506,0.14384391927542972,0.19311814447257197
-0.11633476678864244,0.5415548080722279,0.3223115138700371,-0.2882700276524991,0.2829373227400886
-0.1368030345297001,0.2166352773674054,-0.042908160989669604,-0.10285871318111092,-0.12991244815533734
-0.18144511397295304,0.41606581588506214,0.3358329608856687,-0.3230712263195057,0.20249773700581614
0.0925220547457492,-0.3681009993940457,0.02600933165853042,0.15992586613567655,-0.19003521916986854
-0.24507828587926594,-0.014847401007479347,0.16897029885171236,0.30010194082919733,-0.1614023662836379
-0.01151959213983067,0.2012837668362817,-0.015393029140444148,-0.25708435481147146,0.04776753045220916
-0.008247642269802902,0.06253349629798302,0.1868349711973362,-0.2193436596950974,0.1419968747308148
0.28293048619370637,-0.3897766268972187,0.053383682587891834,0.3785712266335036,-0.07023210202447455
0.07166637459844749,-0.086105523957167,0.0664263702439828,0.06648422214656594,0.2591817187174152
0.03231244023932839,-0.4956115956080999,-0.1460129912588537,-0.031730108296400855,-0.26122934455044955
-0.04651832302893011,0.3411834186113832,0.14155663328851031,-0.14736064956394165,0.1039410356198
0.28316125977984724,-0.509799361300391,-0.1330294840167848,0.31909523764583736,-0.03199497473409463
-0.0721036985414423,0.16859527665257396,-0.046888268915803694,0.18286297846988409,-0.018366785639522598
-0.015535582732957132,-0.05935634009885027,0.07547833070990341,0.24952486661595677,-0.10144062989252955
0.1519351424436055,0.14176139230387708,0.19629724772712134,-0.19985647557323952,0.2595529657190679
0.01929249583581194,-0.29676068209176193,0.23818066399031004,0.2493240978642116,-0.033236743004048275
-0.2828565486581376,0.1310003534740592,0.11002751771443786,-0.2281202601579102,-0.23816747439353703
