lack of oxygen to the blood during the infant's birth,infant methemoglobinemia,presence of an illness,blood flow across the ductus arteriosus,mixing of oxygenated and deoxygenated blood,the state of the blood vessels in the lungs,low blood flow in the lungs,thickening of the left ventricle,age of infant at disease presentation,grunting in infants,low oxygen areas equally distributed around the body,hypoxia when breathing oxygen,level of CO2 in the body,having a chest x-ray,report of having LVH,report of infant grunting,level of oxygen in the lower body,level of oxygen in the right up quadricep muscule,a document reporting high level of CO2 levels in blood,lung excessively filled with blood
0.3452356746708946,9565.432753776353,-7503.282343545188,22630920.090249717,5902.527264326576,-7503.389246741398,-7503.87106365706,5902.518549660119,-7503.142008805884,-107593373.34795943,-300131241448797.8,-4926609.368136131,-49947727.10344391,2847.967574600856,-8183.1588255085135,1649359372528721.2,67.72671155579116,-47.36881103912725,-671403013873055.4,9562.934371364385
-0.044774469114838227,9565.400620896286,-7503.382499380546,22630768.31826555,5902.575565286719,-7503.069776580655,-7503.857653985457,5902.351558713841,-7502.943812119727,-107590159.32259463,-300127215861728.06,-4925201.5326952655,-49943473.86475757,2847.5439846727036,-8183.077271941141,1649260834793224.8,68.30941777088042,-47.99748463853533,-671288673707681.0,9563.003653329488
0.11562557147842045,9565.663653962627,-7502.959044132223,22632012.56725385,5902.929572821598,-7502.81976870982,-7503.716226364783,5902.856390152406,-7503.105047696824,-107580531.38453193,-300160219003895.94,-4923056.367149116,-49940145.66391738,2847.7119036188574,-8183.557705990646,1648965672656016.0,68.09467784339759,-47.54340391809393,-671199208201471.8,9563.157652786322
-0.3074057709628597,9565.805543408514,-7503.166505338384,22632684.444338474,5902.3307453304,-7503.392492067112,-7503.255869096442,5902.6134169216675,-7503.167437699182,-107591779.38583183,-300178041003807.2,-4927270.716649424,-49947769.55571126,2847.953876783028,-8183.148225722538,1649310503405675.5,68.25719833036929,-47.18285385954469,-671404155169927.9,9562.641011164162
-0.008925919744561693,9565.528030813262,-7503.576116487638,22631371.092120945,5902.540244041828,-7503.536797215033,-7503.4879607096145,5902.23445143407,-7503.277509557895,-107599678.12538196,-300143203942179.3,-4927143.267351716,-49949691.164716534,2847.6483267482354,-8183.643574855324,1649552677154958.8,68.04159800077572,-47.1364099582037,-671455817180075.8,9563.738519946308
-0.3322642662190193,9565.54089090364,-7503.746457827676,22631432.348378535,5902.27218188183,-7502.915242336617,-7503.606143617347,5902.256649642941,-7503.307166484777,-107593076.51847717,-300144828740994.9,-4925598.610554481,-49941416.92086522,2847.9229450591997,-8183.449812605261,1649350272008902.5,67.86532677211687,-47.62707888151127,-671233380209009.6,9563.101214951466
0.2023119773857929,9565.496014275337,-7503.725009123265,22631219.161802992,5901.906967057106,-7503.35255254489,-7503.552453350189,5902.293009536494,-7503.789139681461,-107599115.23471947,-300139174082797.56,-4928512.295170881,-49947238.041583836,2847.8174243550784,-8183.380854369942,1649535418453320.8,67.50643447211921,-47.75468874962103,-671389865887418.5,9563.632259762513
-0.13058147911517623,9565.294861580409,-7503.536272131429,22630268.113748923,5902.7072470353705,-7503.337137463284,-7503.4356724571035,5902.084911786377,-7503.483118120803,-107596216.7093325,-300113948671243.94,-4925811.954297964,-49947033.218475774,2847.776604927757,-8183.331860532255,1649446548654011.2,67.81112213316315,-47.50346257960795,-671384359441718.6,9563.55689862434
0.04456116898811948,9565.255137381231,-7503.633994290886,22630079.83103803,5902.252511342637,-7503.191790737023,-7503.020459123823,5902.9706200274295,-7503.1174590820565,-107595493.53418034,-300108954830348.4,-4926744.107911558,-49945097.87485054,2848.2249360608175,-8183.587363621776,1649424376224782.0,67.97884334742423,-47.104558572129314,-671332330955433.0,9563.397918163411
0.14772179701588745,9565.991727056811,-7503.552414548262,22633565.555547297,5902.5901546666355,-7503.544054536042,-7502.988571556987,5902.258419888796,-7503.252610325586,-107599446.50230627,-300201413872685.0,-4927006.754753486,-49949787.71352383,2847.7444766910853,-8183.166468281228,1649545575385510.2,68.26966370934592,-47.53039232726082,-671458412924691.9,9563.2807148163
0.2157150474973252,9565.567921699008,-7503.118827432668,22631559.72965969,5902.335700278112,-7503.3185801816335,-7503.149413976159,5902.4960780283,-7503.859714102093,-107590030.68234508,-300148207486474.25,-4926965.746278241,-49946785.4132715,2847.7664592984834,-8183.235770367772,1649256890915831.5,68.50136739752834,-47.641368148272065,-671377697499460.4,9562.974370443228
-0.43133769781912906,9565.05024911556,-7503.521199623301,22629110.30378103,5902.45896445959,-7503.613909962148,-7503.00001156175,5902.650833713656,-7502.713683223204,-107600018.17411922,-300083240592045.0,-4927713.829055207,-49950718.25532721,2847.9005017388577,-8183.453892614343,1649563103379293.8,68.37268303838178,-47.42573770649167,-671483431086774.2,9563.861103990135
0.5497835578604364,9565.573989172006,-7503.344377646073,22631588.795849826,5902.255112487149,-7503.771479876999,-7503.344905816794,5903.188718835637,-7503.2390216982185,-107599798.05007073,-300148978461643.2,-4929001.429340096,-49952816.098177165,2847.955138498454,-8183.371900872182,1649556354158553.8,68.06696426291776,-47.81681197317462,-671539834531799.4,9562.958491319037
-0.1350438681988686,9565.654213269167,-7503.729526492215,22631968.124215394,5902.329430061906,-7503.654224041821,-7503.598769947096,5902.456499410999,-7503.2311512347005,-107603555.30224283,-300159040148805.2,-4928297.727732337,-49951254.41795884,2848.1090250359057,-8184.284987835051,1649671557114632.5,68.27215825106715,-47.36080393186407,-671497846345185.1,9563.282667067444
0.0954617744501706,9565.654561850886,-7502.66288210391,22631969.917982474,5902.79220974086,-7503.587880204642,-7504.087287872777,5902.839272886218,-7503.120378255891,-107587475.55574052,-300159087722116.56,-4926512.002633663,-49950370.96931324,2848.1662842117084,-8183.384956403724,1649178556332344.5,68.53145176172954,-47.157856979669795,-671474094044116.5,9563.290274449337
0.2989708207280194,9565.64922157764,-7503.178812576499,22631944.693926197,5902.5056561428655,-7503.84063435513,-7503.620548435874,5902.577910786113,-7503.038882429945,-107598454.49996264,-300158418652540.9,-4928444.942436226,-49953736.6109724,2847.9591571402707,-8183.472385952575,1649515159884561.5,67.8701028003337,-47.69264133221924,-671564584556086.6,9563.390609573917
0.1418967635250823,9565.344965340168,-7503.1552036139265,22630505.459974907,5902.48743351345,-7503.4066754125315,-7503.443871040044,5902.089730514282,-7503.315092086458,-107591824.64676794,-300120243896156.8,-4926808.665171598,-49947959.18397674,2847.08007982841,-8183.356297244392,1649311891046133.2,68.43121212879524,-47.10371749097601,-671409253193251.0,9562.840735847023
-0.01711659879703711,9565.834640028934,-7503.444394206401,22632821.538689703,5902.600582450863,-7503.872891087332,-7503.338363931018,5902.616688970543,-7502.856768589753,-107602685.83717652,-300181677586405.7,-4928257.816978913,-49954166.72325544,2847.73118193999,-8183.094811339444,1649644897661032.0,67.9736899952572,-47.68416286746452,-671576149233317.4,9563.204024922667
0.0204638278457898,9565.954998599947,-7503.395463845618,22633391.420326807,5902.325124069666,-7503.127217967153,-7504.104896544604,5902.322586272636,-7503.533881739506,-107591176.2195852,-300196794590545.7,-4926251.798899428,-49944237.8675477,2848.102235570591,-8182.844698810717,1649292011181768.8,67.89436070168287,-46.523123309734665,-671309211740091.0,9563.184452609792
0.06684633389063474,9565.00357322915,-7503.127227319583,22628889.57085844,5902.100641054561,-7502.680465893014,-7503.0503388099205,5902.212821478227,-7502.733245827127,-107580894.36363143,-300077386371992.56,-4925246.379882632,-49938290.875109166,2847.3452007787587,-8183.636063451681,1648976799968309.0,67.69202231964282,-47.7051084488817,-671149352132998.4,9563.3432055645
