low accessibility to green spaces,low socioeconomic position neighborhood,reduced walkability of the neighborhood,exposure to high criminality levels,lack of services,proximity to pollution industry
0.02169088780997706,19131.3310800415,-84.76491369982368,6495.651756741671,-46884249.07578427,0.02561777546119502
-0.1931088477830536,19131.691220226247,-84.22415281443364,6495.90939059215,-46886013.93321229,-0.3648178826398503
-0.09186114567045231,19131.534968181786,-84.21137818489932,6495.112875129964,-46885248.25616126,-0.04959493143530096
0.20706650395101783,19131.02909504445,-84.63230995795668,6495.856382289944,-46882768.74555682,0.39061442911616967
-0.23684541980691587,19131.74218604332,-84.06871198253964,6495.272825679263,-46886263.723681025,0.17570186666861418
-0.2031152641727592,19131.734324573037,-84.24486452946319,6495.490294035786,-46886225.773272045,-0.05933431813449456
0.3019346811746802,19131.595168251126,-84.23432591713026,6495.869324780351,-46885543.40364124,-0.2054689820157112
-0.19122847071174665,19131.535844391467,-84.23394478550891,6495.596203798892,-46885252.53724313,-0.10778698522054657
-0.42569913801848897,19131.805959147052,-84.56893961186037,6495.492266439813,-46886576.331884935,0.17818443938152734
-0.2823476847974467,19131.391993085403,-84.7009973451857,6495.68595052364,-46884547.35046934,-0.32129942196912736
0.17827106743618046,19131.904359467033,-84.60458653472793,6495.463476469334,-46887058.758298576,0.1217652228431795
-0.11405237598125555,19131.685886432217,-84.18286247255514,6495.459854632416,-46885987.63620262,0.1855284449069454
0.5889158900477547,19131.43491460217,-84.19261306297238,6495.475314608156,-46884757.986345485,0.1717749404798138
0.01711517131259131,19131.052949751276,-84.33820257158409,6495.450743186358,-46882885.50474884,-0.029158477250071774
-0.020928802040707448,19131.47732067171,-84.05914840188676,6495.67107546668,-46884965.58191128,-0.09751267279036067
0.04377752513680662,19131.258527745566,-84.07161497505116,6495.307780575043,-46883893.39348268,-0.04215294319376266
0.4489979639263863,19131.798040351547,-84.45774236931841,6495.767588980422,-46886537.827939734,-0.4009851127479625
0.1346659165909797,19131.862622665692,-83.96247234159159,6495.633851403959,-46886854.44489365,0.0003271545945510406
-0.41276296090094583,19131.739803819328,-84.3313278776292,6495.3538072157635,-46886252.13012591,-0.19727644001598038
